id,対象装備,改修値,火力,雷装,対空,回避,対潜,対象艦(カテゴリ),対象艦(艦種),対象艦,備考
323,瑞雲改二(六三四空/熟練),0,6,3,2,3,,,,伊勢型改二に装備ボーナス,※戦艦実装時追加
322,瑞雲改二(六三四空),0,5,2,1,2,,,,伊勢型改二に装備ボーナス,※戦艦実装時追加
81,瑞雲12型(六三四空),0,3,,,,,,,扶桑型、伊勢型に装備ボーナス,※戦艦実装時追加
237,瑞雲(六三四空/熟練),0,4,,,2,,,,扶桑型、伊勢型に装備ボーナス,※戦艦実装時追加
79,瑞雲(六三四空),0,3,,,,,,,扶桑型、伊勢型に装備ボーナス,※戦艦実装時追加
369,Swordfish Mk.III改(水上機型/熟練),0,5,,4,4,,,,Gotland、Commandant Teste、瑞穂、神威に装備ボーナス,※戦艦実装時追加
368,Swordfish Mk.III改(水上機型),0,4,,3,2,,,,Gotland、Commandant Teste、瑞穂、神威に装備ボーナス,
367,Swordfish(水上機型),0,2,,1,1,,,,Gotland、Commandant Teste、瑞穂、神威に装備ボーナス,
194,Laté 298B,0,3,,,2,,,,瑞穂、神威、Commandant Teste、Richelieu改に装備ボーナス,
327,S-51J改,0,2,,,,4,,,伊勢型改二に装備ボーナス（表のボーナスは日向改二）,
326,S-51J,0,1,,,,3,,,伊勢型改二に装備ボーナス（表のボーナスは日向改二）,※戦艦実装時追加
325,オ号観測機改二,0,,,,,2,,,伊勢型改二に装備ボーナス（表のボーナスは日向改二）,※戦艦実装時追加
324,オ号観測機改,0,,,,,2,,,伊勢型改二に装備ボーナス（表のボーナスは日向改二）,※戦艦実装時追加
149,四式水中聴音機,0,,,,5,3,,,特定の艦娘*1に装備ボーナス,※戦艦実装時追加
47,三式水中探信儀,0,1,,,2,3,,,特定の艦娘*2に装備ボーナス,
288,試製15cm9連装対潜噴進砲,0,1,,,5,3,,,爆雷とのシナジー無し,
287,三式爆雷投射機 集中配備,0,,,,1,1,,,爆雷とのシナジー無し,
383,後期型53cm艦首魚雷(8門),0,,3,,,,,,専用魚雷CI有,
67,53cm艦首(酸素)魚雷,0,,-5,,,,,,水上艦が積むと「雷装-5」のペナルティ,
179,試製61cm六連装(酸素)魚雷,0,,1,,,,,,秋月型に装備ボーナス,
58,61cm五連装(酸素)魚雷,0,,1,,,,,,雷巡、島風型、秋月型に装備ボーナス,
286,61cm四連装(酸素)魚雷後期型,0,(+1),+2(+1),,1,,,,「白露型、朝潮型 、陽炎型 、夕雲型 」の改二に装備ボーナス。白露型に相互シナジーボーナス,
15,61cm四連装(酸素)魚雷,0,,2,,,,,,陽炎改二、不知火改二、黒潮改二に装備ボーナス（2つ目まで）,
285,61cm三連装(酸素)魚雷後期型,0,(+1),2,,1,,,,「特型、初春型」の改二に装備・相互シナジーボーナス,
376,533mm五連装魚雷(後期型),0,2,4,,,,,,米英駆逐に装備ボーナス,
314,533mm五連装魚雷(初期型),0,1,3,,,,,,米駆逐に装備ボーナス,
283,533mm 三連装魚雷,0,1,3,,,,,,Ташкент、Верныйに装備ボーナス,
268,北方迷彩(＋北方装備),0,,,,7,,,,多摩改/改二、木曾改/改二に装備ボーナス(重複不可)。北方海域出撃時、全装備艦にボーナス(装甲+3、回避率上昇),
